Job Title,Salary,Company Name,Rating,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Lower Salary,Upper Salary,Avg Salary(K),Job Location
Data Analyst,$43K-$81K,"Synagro
2.3",2.3,"Baltimore, MD",501 - 1000 ,1986,Company - Private,Research & Development,Business Services,$100 to $500 million (USD),-1,43,81,62,MD
Project Scientist,$29K-$50K,"Alliance Source Testing
4.0",4,"Decatur, AL",51 - 200 ,2000,Other Organization,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),-1,29,50,39.5,AL
Data Scientist,$82K-$133K,"Accuride International
3.6",3.6,"Santa Fe Springs, CA",1001 - 5000 ,1966,Company - Private,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),-1,82,133,107.5,CA
Data Analytics Manager,$26K-$55K,"Full Potential Solutions
3.8",3.8,"Kansas City, MO",501 - 1000 ,2017,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,26,55,40.5,MO
Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,$61K-$118K,"Visa Inc.
3.7",3.7,"Foster City, CA",10000+ ,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),"American Express, Mastercard, Discover",61,118,89.5,VA
Data Scientist,$60K-$102K,"Maven Wave Partners
4.4",4.4,"Chicago, IL",201 - 500 ,2008,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,60,102,81,IL
Senior Data Scientist,$112K-$182K,"Novetta
4.0",4,"Mc Lean, VA",501 - 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",112,182,147,VA
Data Scientist,$64K-$106K,"First Command Financial Services, Inc.
3.2",3.2,"Fort Worth, TX",1001 - 5000 ,1958,Company - Private,Brokerage Services,Finance,$100 to $500 million (USD),"USAA, Navy Federal Credit Union, Raymond James Financial",64,106,85,TX
Associate Scientist,$51K-$112K,"Pharmavite
2.9",2.9,"West Hills, CA",1001 - 5000 ,1971,Company - Private,Consumer Products Manufacturing,Manufacturing,$1 to $2 billion (USD),"The Nature's Bounty Co., Schiff Nutrition International",51,112,81.5,CA
"Scientist 2, QC Viral Vector",$113K-$223K,"BioMarin Pharmaceutical
3.8",3.8,"San Rafael, CA",1001 - 5000 ,1997,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$500 million to $1 billion (USD),"Genentech, Ultragenyx Pharmaceutical, Gilead Sciences",113,223,168,CA
Machine Learning Engineer,$72K-$129K,"Stratagem Group
4.3",4.3,"Aurora, CO",Jan-50,2007,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,-1,72,129,100.5,CO
Data Scientist/ML Engineer,$71K-$123K,"PA Consulting
3.4",3.4,"London, United Kingdom",1001 - 5000 ,1943,Company - Private,Consulting,Business Services,$100 to $500 million (USD),"McKinsey & Company, Accenture, Deloitte",71,123,97,NY
Data Scientist,$64K-$106K,"ManTech
4.1",4.1,"Herndon, VA",5001 - 10000 ,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,64,106,85,VA
Customer Data Scientist,$118K-$189K,"h2o.ai
4.3",4.3,"Mountain View, CA",201 - 500 ,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,118,189,153.5,CA
Data Engineer,Employer,"Gridiron IT
5.0",5,"Reston, VA",51 - 200 ,2017,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,120,145,132.5,FL
Data Engineer,$80K-$120K,"Productive Edge
4.3",4.3,"Chicago, IL",51 - 200 ,2008,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),"Numerator, Rise Interactive, Salom",80,120,100,IL
Sr. Data Scientist,$80K-$130K,"Evolve Vacation Rental
3.7",3.7,"Denver, CO",201 - 500 ,2011,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,-1,80,130,105,CO
Data Engineer 4 - Contract,$59K-$115K,"The Church of Jesus Christ of Latter-day Saints
4.2",4.2,"Salt Lake City, UT",10000+ ,-1,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable,-1,59,115,87,UT
Data Analyst - Asset Management,$71K-$136K,"Maximus Real Estate Partners
4.3",4.3,"San Francisco, CA",51 - 200 ,2013,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,"Greystar, The Related Companies, Prometheus Real Estate Group",71,136,103.5,CA
Senior Research Scientist - Embedded System Development for DevOps,$81K-$167K,"Software Engineering Institute
2.6",2.6,"Pittsburgh, PA",501 - 1000 ,1984,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,-1,81,167,124,PA
Data Scientist - Bioinformatics,$49K-$85K,"PNNL
3.8",3.8,"Richland, WA",1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",49,85,67,WA
Data Engineer,$60K-$114K,"AVANADE
3.9",3.9,"Seattle, WA",10000+ ,2000,Company - Private,IT Services,Information Technology,$2 to $5 billion (USD),"Slalom, Cognizant Technology Solutions, Deloitte",60,114,87,DC
Customer Data Scientist/Sales Engineer,$71K-$204K,"h2o.ai
4.3",4.3,"Mountain View, CA",201 - 500 ,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,71,204,137.5,IL
Lead Data Scientist,$75K-$125K,"PatientPoint
3.8",3.8,"Cincinnati, OH",201 - 500 ,1987,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),"Outcome Health, Health Media Network, Mesmerize Marketing",75,125,100,OH
MongoDB Data Engineer II,$77K-$136K,"BlueCross BlueShield of Tennessee
3.8",3.8,"Chattanooga, TN",5001 - 10000 ,1945,Nonprofit Organization,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1,77,136,106.5,TN
Senior Data Scientist Statistics,$74K-$123K,"PNNL
3.8",3.8,"Richland, WA",1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",74,123,98.5,WA
Senior Data Analyst,$44K-$78K,"KnowBe4
4.8",4.8,"Clearwater, FL",501 - 1000 ,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,44,78,61,FL
Senior Spark Engineer (Data Science),$65K-$148K,"KSM Consulting
4.4",4.4,"Indianapolis, IN",51 - 200 ,2008,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,65,148,106.5,IN
Data Engineer,$59K-$110K,"Cogo Labs
3.9",3.9,"Cambridge, MA",51 - 200 ,2005,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,59,110,84.5,MA
BI & Platform Analytics Manager,$85K-$134K,"Church & Dwight
3.4",3.4,"Ewing, NJ",1001 - 5000 ,1846,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),-1,85,134,109.5,NJ
Lead Data Scientist,$124K-$204K,"MassMutual
3.6",3.6,"Springfield, MA",5001 - 10000 ,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1,124,204,164,MA
"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",$131K-$207K,"Genentech
3.9",3.9,"South San Francisco, CA",10000+ ,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,131,207,169,CA
Senior Data Scientist,$110K-$174K,"Juniper Networks
3.8",3.8,"Sunnyvale, CA",5001 - 10000 ,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),-1,110,174,142,CA
Pricipal Scientist Molecular and cellular biologist,$52K-$101K,"Takeda Pharmaceuticals
3.7",3.7,"OSAKA, Japan",10000+ ,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",52,101,76.5,MA
"Data Scientist (Actuary, FSA or ASA)",$81K-$133K,"Legal & General America
3.8",3.8,"Frederick, MD",501 - 1000 ,1981,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1,81,133,107,MD
Staff Data Scientist,$132K-$211K,"Western Digital
3.5",3.5,"San Jose, CA",10000+ ,1970,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Seagate Technology, Toshiba",132,211,171.5,CA
Senior Data Scientist / Machine Learning,$73K-$119K,"Health IQ
3.9",3.9,"Mountain View, CA",201 - 500 ,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1,73,119,96,TX
Data Scientist - Health Data Analytics,$110K-$175K,"Nuna
4.2",4.2,"San Francisco, CA",51 - 200 ,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,110,175,142.5,CA
Data Engineer 5 - Contract (Remote),$74K-$140K,"The Church of Jesus Christ of Latter-day Saints
4.2",4.2,"Salt Lake City, UT",10000+ ,-1,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable,-1,74,140,107,UT
Senior Scientist - Neuroscience,$100K-$190K,"Sunovion
3.5",3.5,"Marlborough, MA",1001 - 5000 ,2010,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),"Shire, GlaxoSmithKline, Allergan",100,190,145,MA
Senior Data Analyst,$43K-$80K,"National Student Clearinghouse
2.9",2.9,"Herndon, VA",201 - 500 ,1993,Nonprofit Organization,Colleges & Universities,Education,$25 to $50 million (USD),"Ellucian, Parchment, College Board",43,80,61.5,VA
Medical Lab Scientist,$17-$24,"Tower Health
3.6",3.6,"Reading, PA",5001 - 10000 ,2017,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,35,49,42,PA
"Risk and Analytics IT, Data Scientist",$91K-$149K,"State of Wisconsin Investment Board
2.7",2.7,"Madison, WI",51 - 200 ,1951,Government,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),-1,91,149,120,WI
"Scientist, Analytical Development",$42K-$82K,"Rubius Therapeutics
4.4",4.4,"Cambridge, MA",201 - 500 ,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1,42,82,62,MA
Senior Data Scientist,$116K-$185K,"Autodesk
4.0",4,"San Rafael, CA",5001 - 10000 ,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),-1,116,185,150.5,CA
Analytics Manager,$59K-$116K,"OneMagnify
4.3",4.3,"Detroit, MI",201 - 500 ,1967,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,59,116,87.5,MI
Data Engineer,$48K-$95K,"IZEA
4.2",4.2,"Winter Park, FL",51 - 200 ,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),"Linqia, Collective Bias",48,95,71.5,FL
Digital Marketing & ECommerce Data Analyst,$31K-$72K,"Vionic Group
3.6",3.6,"San Rafael, CA",51 - 200 ,2006,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million (USD),-1,31,72,51.5,CA
Sr. Scientist - Digital & Image Analysis/Computational Pathology,$105K-$198K,"Takeda Pharmaceuticals
3.7",3.7,"OSAKA, Japan",10000+ ,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",105,198,151.5,CA
Senior Data Analyst,$55K-$100K,"Dodge Data & Analytics
2.8",2.8,"Hamilton, NJ",201 - 500 ,2014,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,55,100,77.5,NJ
Principal Scientist - Immunologist,$98K-$182K,"Takeda Pharmaceuticals
3.7",3.7,"OSAKA, Japan",10000+ ,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",98,182,140,MA
Senior Data Scientist,$73K-$124K,"Plymouth Rock Assurance
3.3",3.3,"Boston, MA",1001 - 5000 ,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),"Arbella Insurance, Safety Insurance",73,124,98.5,NJ
Principal Data Scientist with over 10 years experience,Employer,CA-One Tech Cloud,-1,"Fremont, CA",51 - 200 ,2017,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1,200,250,225,CA
MED TECH/LAB SCIENTIST - LABORATORY,$21-$34,"Beebe Healthcare
3.6",3.6,"Lewes, DE",1001 - 5000 ,1935,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,43,70,56.5,DE
"Sr. Scientist, Quantitative Translational Sciences",$117K-$206K,"Takeda Pharmaceuticals
3.7",3.7,"OSAKA, Japan",10000+ ,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",117,206,161.5,MA
Sr. Data Scientist II,$111K-$183K,"Argo Group US
3.4",3.4,"Hamilton, Bermuda",1001 - 5000 ,1948,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1,111,183,147,NY
Excel / VBA / SQL Data Analyst,$44K-$78K,"Associated Electric Cooperative
4.1",4.1,"Springfield, MO",501 - 1000 ,1961,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$1 to $2 billion (USD),-1,44,78,61,MO
Machine Learning Research Scientist,$81K-$159K,"Software Engineering Institute
2.6",2.6,"Pittsburgh, PA",501 - 1000 ,1984,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,-1,81,159,120,PA
"VP, Data Science",$83K-$166K,"PennyMac
3.2",3.2,"Westlake Village, CA",1001 - 5000 ,2008,Company - Public,Lending,Finance,$500 million to $1 billion (USD),"Nationstar Mortgage, Caliber Funding, Quicken Loans",83,166,124.5,AZ
Senior Data Scientist,$114K-$182K,"Zest AI
3.9",3.9,"Burbank, CA",51 - 200 ,2009,Company - Private,Financial Analytics & Research,Finance,$50 to $100 million (USD),-1,114,182,148,CA
Radar Data Analyst,$42K-$76K,"DECISIVE ANALYTICS Corporation
4.7",4.7,"Arlington, VA",51 - 200 ,1996,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $50 million (USD),"Torch Technologies, American Systems",42,76,59,AL
PL Actuarial-Lead Data Scientist,$114K-$179K,"The Hanover Insurance Group
3.7",3.7,"Worcester, MA",5001 - 10000 ,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1,114,179,146.5,MA
PV Scientist,$60K-$123K,"Karyopharm Therapeutics Inc.
2.9",2.9,"Newton, MA",201 - 500 ,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,60,123,91.5,MA
Senior Data & Machine Learning Scientist,$100K-$166K,"Tempus Labs
3.0",3,"Chicago, IL",501 - 1000 ,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,100,166,133,IL
Principal Data Scientist (Computational Chemistry),$108K-$173K,"Recursion Pharmaceuticals
4.7",4.7,"Salt Lake City, UT",51 - 200 ,2013,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1,108,173,140.5,UT
Data Engineer,$48K-$93K,"P2 Energy Solutions
3.7",3.7,"Denver, CO",501 - 1000 ,-1,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,48,93,70.5,LA
"Principal Scientist, Chemistry & Immunology",$54K-$115K,"Rochester Regional Health
3.3",3.3,"Rochester, NY",10000+ ,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,54,115,84.5,NY
Software Engineer - Data Visualization,$60K-$127K,"ClearEdge
4.0",4,"Annapolis Junction, MD",51 - 200 ,2002,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),-1,60,127,93.5,MD
"Scientist/Senior Scientist, Autoimmune",$90K-$179K,"Rubius Therapeutics
4.4",4.4,"Cambridge, MA",201 - 500 ,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1,90,179,134.5,MA
Staff Machine Learning Engineer,$138K-$224K,"Tapjoy
3.9",3.9,"San Francisco, CA",201 - 500 ,2007,Company - Private,Internet,Information Technology,$10 to $25 million (USD),"FLURRY, Chartboost",138,224,181,CA
"Principal Scientist, Hematology",$54K-$115K,"Rochester Regional Health
3.3",3.3,"Rochester, NY",10000+ ,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,54,115,84.5,NY
Lead Data Engineer,$190K-$220K(Employer,"Credit Sesame
4.1",4.1,"Mountain View, CA",51 - 200 ,2010,Company - Private,Internet,Information Technology,$50 to $100 million (USD),"Credit Karma, LendUp, SoFi",190,220,205,CA
Marketing Data Analyst,$35K-$62K,"San Manuel Casino
3.6",3.6,"Highland, CA",1001 - 5000 ,1986,Company - Private,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million (USD),-1,35,62,48.5,CA
Medical Laboratory Scientist,$18-$25,"Texas Health Huguley Hospital
4.0",4,"Arlington, TX",1001 - 5000 ,1977,Hospital,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1,37,52,44.5,TX
R&D Specialist/ Food Scientist,$39K-$66K,"Teasdale Latin Foods
2.4",2.4,"Flower Mound, TX",501 - 1000 ,-1,Company - Private,Food & Beverage Manufacturing,Manufacturing,$100 to $500 million (USD),-1,39,66,52.5,IL
Senior Research Scientist-Machine Learning,$81K-$167K,"Software Engineering Institute
2.6",2.6,"Pittsburgh, PA",501 - 1000 ,1984,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,-1,81,167,124,PA
Analytics Manager - Data Mart,$42K-$86K,"Central California Alliance for Health
3.5",3.5,"Scotts Valley, CA",501 - 1000 ,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,42,86,64,CA
Sr. Data Engineer - Contract-to-Hire (Java),$69K-$127K,"Pilot Flying J Travel Centers LLC
3.0",3,"Knoxville, TN",10000+ ,1958,Company - Private,Gas Stations,Retail,$10+ billion (USD),"TravelCenters of America, Love's Travel Stops & Country Stores, Wawa",69,127,98,TN
MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,$21-$34,"Beebe Healthcare
3.6",3.6,"Lewes, DE",1001 - 5000 ,1935,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,43,70,56.5,DE
Food Scientist - Developer,$40K-$68K,"Palermo's Pizza
3.3",3.3,"Milwaukee, WI",501 - 1000 ,1964,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,-1,40,68,54,WI
Staff Scientist-Downstream Process Development,$49K-$113K,"Advanced BioScience Laboratories
2.7",2.7,"Rockville, MD",201 - 500 ,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),-1,49,113,81,MD
Sr. Data Engineer,$75K-$140K,"Echo Global Logistics
3.4",3.4,"Chicago, IL",1001 - 5000 ,2005,Company - Public,Transportation Management,Transportation & Logistics,$2 to $5 billion (USD),"C.H. Robinson, Total Quality Logistics, Coyote Logistics",75,140,107.5,IL
Data Scientist - Quantitative,$86K-$139K,"Truckstop.com
3.8",3.8,"New Plymouth, ID",501 - 1000 ,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,-1,86,139,112.5,IL
Data Scientist,$66K-$112K,"Lockheed Martin
3.7",3.7,"Bethesda, MD",10000+ ,1995,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Boeing, Northrop Grumman, Raytheon",66,112,89,VA
Senior Research Statistician- Data Scientist,$76K-$125K,"Acuity Insurance
4.8",4.8,"Sheboygan, WI",1001 - 5000 ,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1,76,125,100.5,WI
"Business Data Analyst, SQL",$44K-$86K,"Fareportal
3.8",3.8,"New York, NY",1001 - 5000 ,2002,Company - Private,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD),"Expedia Group, Orbitz Worldwide, Priceline.com",44,86,65,NY
Medical Technologist / Clinical Laboratory Scientist,$15-$25,"Veterans Affairs, Veterans Health Administration
3.4",3.4,"Washington, DC",10000+ ,1930,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,31,52,41.5,LA
Data Scientist,$53K-$92K,"Credera
4.3",4.3,"Dallas, TX",201 - 500 ,1999,Subsidiary or Business Segment,Consulting,Business Services,Unknown / Non-Applicable,-1,53,92,72.5,TX
Senior Data Analyst,$44K-$78K,"KnowBe4
4.8",4.8,"Clearwater, FL",501 - 1000 ,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,44,78,61,FL
BI & Platform Analytics Manager,$85K-$134K,"Church & Dwight
3.4",3.4,"Ewing, NJ",1001 - 5000 ,1846,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),-1,85,134,109.5,NJ
Data Engineer,$59K-$110K,"Cogo Labs
3.9",3.9,"Cambridge, MA",51 - 200 ,2005,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,59,110,84.5,MA
Data Scientist,$64K-$111K,"Spectrum Communications and Consulting
3.4",3.4,"Chicago, IL",51 - 200 ,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),-1,64,111,87.5,IL
Data Analyst,$65K-$120K,"NCSOFT
3.1",3.1,"Seoul, South Korea",1001 - 5000 ,1997,Company - Public,Video Games,Media,$10+ billion (USD),"Blizzard Entertainment, Riot Games, Electronic Arts",65,120,92.5,CA
Associate Data Scientist/Computer Scientist,$60K-$103K,"MITRE
3.2",3.2,"Bedford, MA",5001 - 10000 ,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC",60,103,81.5,VA
Business Intelligence Analyst / Developer,$53K-$105K,"Dayton Freight Lines, Inc.
4.3",4.3,"Dayton, OH",1001 - 5000 ,1981,Company - Private,Trucking,Transportation & Logistics,Unknown / Non-Applicable,"Old Dominion Freight, Pitt Ohio Express",53,105,79,OH
Lead Data Scientist,$124K-$204K,"MassMutual
3.6",3.6,"Springfield, MA",5001 - 10000 ,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1,124,204,164,MA
"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",$131K-$207K,"Genentech
3.9",3.9,"South San Francisco, CA",10000+ ,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,131,207,169,CA
Senior Data Scientist,$110K-$174K,"Juniper Networks
3.8",3.8,"Sunnyvale, CA",5001 - 10000 ,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),-1,110,174,142,CA
Data Analyst,$33K-$62K,"Community Action Partnership of San Luis Obispo
2.8",2.8,"San Luis Obispo, CA",501 - 1000 ,-1,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD),-1,33,62,47.5,CA
Pricipal Scientist Molecular and cellular biologist,$52K-$101K,"Takeda Pharmaceuticals
3.7",3.7,"OSAKA, Japan",10000+ ,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",52,101,76.5,MA
Data Analyst,$48K-$90K,"TrueAccord
3.4",3.4,"San Francisco, CA",51 - 200 ,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,48,90,69,CA
Data Analyst,$34K-$64K,"DRB Systems
4.0",4,"Akron, OH",201 - 500 ,1984,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),-1,34,64,49,ID
Staff Data Scientist,$132K-$211K,"Western Digital
3.5",3.5,"San Jose, CA",10000+ ,1970,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Seagate Technology, Toshiba",132,211,171.5,CA
"Data Scientist (Actuary, FSA or ASA)",$81K-$133K,"Legal & General America
3.8",3.8,"Frederick, MD",501 - 1000 ,1981,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1,81,133,107,MD
System and Data Analyst,$42K-$76K,"Corcentric
3.7",3.7,"Cherry Hill, NJ",201 - 500 ,1996,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,42,76,59,NJ
Data Scientist,$66K-$111K,"U.Group
3.5",3.5,"Arlington, VA",201 - 500 ,2019,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,66,111,88.5,IN
Data Engineer 5 - Contract (Remote),$74K-$140K,"The Church of Jesus Christ of Latter-day Saints
4.2",4.2,"Salt Lake City, UT",10000+ ,-1,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable,-1,74,140,107,UT
Digital Health Data Scientist,$63K-$110K,"Pfizer
4.0",4,"New York, NY",10000+ ,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,63,110,86.5,MA
Data Scientist,$63K-$105K,"SMC 3
4.3",4.3,"Peachtree City, GA",51 - 200 ,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),-1,63,105,84,KY
Data & Analytics Consultant (NYC),$91K-$138K,"Systems Evolution Inc.
4.7",4.7,"Cincinnati, OH",201 - 500 ,1992,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,91,138,114.5,NY
Senior Scientist - Neuroscience,$100K-$190K,"Sunovion
3.5",3.5,"Marlborough, MA",1001 - 5000 ,2010,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),"Shire, GlaxoSmithKline, Allergan",100,190,145,MA
Data Engineer,$62K-$114K,"Eventbrite
4.4",4.4,"San Francisco, CA",1001 - 5000 ,2006,Company - Public,Internet,Information Technology,$100 to $500 million (USD),"See Tickets, TicketWeb, Vendini",62,114,88,TN
Big Data Engineer - Chicago - Future Opportunity,$71K-$129K,"Centro
4.1",4.1,"Chicago, IL",501 - 1000 ,2001,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Mediaocean, The Trade Desk, MediaMath",71,129,100,IL
Senior Data Analyst,$43K-$80K,"National Student Clearinghouse
2.9",2.9,"Herndon, VA",201 - 500 ,1993,Nonprofit Organization,Colleges & Universities,Education,$25 to $50 million (USD),"Ellucian, Parchment, College Board",43,80,61.5,VA
Data Scientist,$74K-$119K,"comScore
2.5",2.5,"Reston, VA",1001 - 5000 ,1999,Company - Public,Advertising & Marketing,Business Services,$1 to $2 billion (USD),"Nielsen, Hitwise, Coremetrics",74,119,96.5,OR
Survey Data Analyst,$55K-$97K,"SullivanCotter
4.2",4.2,"Chicago, IL",201 - 500 ,1992,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Mercer, Korn Ferry, Integrated Healthcare Strategies",55,97,76,MN
Data Scientist,$15K-$16K(Employer,"NPD
3.9",3.9,"Port Washington, NY",1001 - 5000 ,1966,Company - Private,Research & Development,Business Services,$100 to $500 million (USD),-1,15,16,15.5,NY
Data Scientist,$61K-$106K,"Bakery Agency
4.3",4.3,"Austin, TX",Jan-50,2010,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,61,106,83.5,TX
"Risk and Analytics IT, Data Scientist",$91K-$149K,"State of Wisconsin Investment Board
2.7",2.7,"Madison, WI",51 - 200 ,1951,Government,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),-1,91,149,120,WI
